caseNum,incomplete,place,state,country,year,month,day,articleTitle,newspaper,section,page,column,continuedPage,continuedColumn,displayPDF,link
1,,San Francisco,California,United States,1849,2,8,,Weekly Alta California,,2,2,,,Yes,Case 001 1849-02-08 Weekly Alta California p2c2.pdf
1,,San Francisco,California,United States,1849,2,15,,Weekly Alta California,,2,2,,,Yes,Case 001 1849-02-15 Weekly Alta California p2c2.pdf
1,,Sacramento,California,United States,1875,3,6,,Sacramento Daily Union,,1,6,,,Yes,Case 001 1875-03-06 Sacramento Daily Union p1c6.pdf
1,,Sacramento,California,United States,1888,5,26,,Sacramento Daily Union,,1,3,,,Yes,Case 001 1888-05-26 Sacramento Daily Union p1c3.pdf
2,,San Francisco,California,United States,1849,8,2,,Weekly Alta California,,1,all,4,all,Yes,Case 002 1849-08-02 Weekly Alta California p1 and 4.pdf
2,,San Francisco,California,United States,1849,8,9,,Weekly Alta California,,1,3,,,Yes,Case 002 1849-08-09 Weekly Alta California p1c3.pdf
4,,San Francisco,California,United States,1850,7,17,,Alta California,,2,1-2,,,Yes,Case 004 1850-07-17 Alta California p2c1-2.pdf
4,,San Francisco,California,United States,1850,7,17,,Alta California,,2,1,,,Yes,Case 004 1850-07-17 Alta California p2c1.pdf
4,,Sacramento,California,United States,1850,7,18,,Sacramento Transcript,,2,2,,,Yes,Case 004 1850-07-18 Sacramento Transcript p2c2.pdf
4,,San Francisco,California,United States,1850,8,1,,San Francisco Herald,,4,1-3,,,Yes,Case 004 1850-08-01 San Francisco Herald p4c1-3.pdf
5,,San Francisco,California,United States,1850,10,18,,Alta California,,2,4,,,Yes,Case 005 1850-10-18 Alta California p2c4.pdf
6,,Sacramento,California,United States,1875,3,27,,Sacramento Daily Union,,2,2-3,,,Yes,Case 006 1875-03-27 Sacramento Daily Union p2c2-3.pdf
6,,Sacramento,California,United States,1880,4,21,,Sacramento Daily Union,,2,3,,,Yes,Case 006 1880-04-21 Sacramento Daily Union p2c3.pdf
6,,San Francisco,California,United States,1880,5,1,,Alta California,,4,2,,,Yes,Case 006 1880-05-01 Alta California p4c2.pdf
6,,Sacramento,California,United States,1880,5,1,,Sacramento Daily Union,,2,5,,,Yes,Case 006 1880-05-01 Sacramento Daily Union p2c5.pdf
6,,San Rafael,California,United States,1880,5,13,,Marin County Journal,,1,7,,,Yes,Case 006 1880-05-13 Marin County Journal p1c7.pdf
6,,Sonoma,California,United States,1880,5,28,,Sonoma Democrat,,7,2,,,Yes,Case 006 1880-05-28 Sonoma Democrat p7c2.pdf
6,,San Francisco,California,United States,1885,8,23,,Alta California,,1,1,,,Yes,Case 006 1885-08-23 Alta California p1c1.pdf
6,,Sacramento,California,United States,1888,5,26,,Sacramento Daily Union,,1,4,,,Yes,Case 006 1888-05-26 Sacramento Daily Union p1c4.pdf
