caseNum,incomplete,auFn,auMn,auLn,auSuffix,edComp,editorFn,editorMn,editorLn,editorSuffix,title,placePub,publisher,yearPub,volume,pages,displayPDF,pDF
1,,E. ,Gould,Buffum,,,,,,,Six Months in the Gold Mines,Philadelphia,Lea and Blanchard,1850,,83-85,Yes,
3,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,145-146,Yes,Case 003 Hubert Howe Bancroft Popular Tribunals vI p145-146.pdf
4,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,152-155,Yes,Case 004 Hubert Howe Bancroft Popular Tribunals vI 152-155.pdf
5,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,157,Yes,Case 005 Hubert Howe Bancroft Popular Tribunals vI p157.pdf
6,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,155-156,Yes,Case 006 Hubert Howe Bancroft Popular Tribunals vI p155-156.pdf
6,,Richard,,Dillon,,,,,,,Wells Fargo Detective: The Biography of James B. Hume,New York,Coward-McCan,1969,,64,No,
6,,John,,Hittell,,,,,,,History of California,San Francisco,N. J. Stone & Company,1897,III,277-278,Yes,
6,,John,M.,Letts,,,,,,,California Illustrated,New York,William Holdredge,1852,,109,Yes,
8,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,155,Yes,Case 008 Hubert Howe Bancroft Popular Tribunals vI p155.pdf
9,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,147-150,Yes,Case 009 Hubert Howe Bancroft Popular Tribunals vI p147-150.pdf
10,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,155,Yes,Case 010 Hubert Howe Bancroft Popular Tribunals vI p155.pdf
19,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,515,Yes,Case 019 Hubert Howe Bancroft Popular Tribunals vI p515.pdf
19,,Hubert,Howe,Bancroft,,,,,,,Popular Tribunals,San Francisco,History Company,1887,I,157,Yes,Case 019 Hubert Howe Bancroft Popular Tribunals vI p157.pdf
