caseNum,incomplete,title,collection,repository,location,stateProvince,country,year,month,day,callNumber,displayPDF,pDF
6,,John Hume to Sister,James Hume Collection,Wells Fargo Corporate Archives,San Francisco,California,U.S.,1850,11,24,,No,Case 006 John Hume to Sister 1850-11-24 Wells Fargo Corporate Archive.pdf
12,,"Manuscript regarding vigilance committees, [before 1896]",Manuscripts 19th Century,Huntington Library,San Marino,California,U.S.,1896,,,mssHM 68185,No,Case 012 Lucius Fairchild on 1850-51 lynching San Andreas.pdf
69,,"Vigilance Committee hanging of James Stuart on July 11, 1851, San Francisco, California","Honeyman (Robert B., Jr.) - Collection of Early Californian and Western American Pictorial Material","Bancroft Library, University of California, Berkeley",Berkeley,California,U.S.,1891,,,BANC PIC 1963.002:0304--B,No,Case 069 Hanging of James Stuart on July 11 1851 San Francisco.pdf
116,,"John Bucroft letter to ""Dear Friend"", 1852",,Huntington Library,San Marino,California,U.S.,1852,,,mssFAC 1498,No,Case 116 John Bucroft 1852 Letter.pdf
501,,Sentence of Joaquin Valenzuela,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,5,21,mssFAC 1482,No,Case 501 1858-05-21 SLO VC Sentence of Joaquin Valenzuela.pdf
501,,Joaquin Valenzuela to Mr. Alexander on Execution,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,5,21,mssFAC 1483,No,Case 501 1858-05-21 SLO VC Joaquin Valenzuela to Mr Alexander on Execution.pdf
501,,Joaquin Valenzuela to Francisco Seguieria on Execution,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,5,21,mssFAC 1484,No,Case 501 1858-05-21 SLO VC Joaquin Valenzuela to Francisco Seguieria on Execution.pdf
503,,Sentence of Jose Antonio Garcia,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,6,8,mssFAC 1486,No,Case 503 1858-06-08 SLO VC Sentence of Jose Antonio Garcia.pdf
504,,Executive Committee Meeting Notes,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,6,13,mssFAC 1488,No,Case 504 1858-06-13 SLO VC Executive Committee Meeting Notes.pdf
504,x,"Collection of newspaper clippings from newspapers consisting of 150 pages of clippings relating to the Pioneers and to early California], 1888-1897",McDonald Collection,Huntington Library,San Marino,California,U.S.,,,,,No,Case 504 HEH Newspaper clippings on Jack Powers and SLO Vigilance Committee.pdf
505,,Executive Committee Meeting Notes,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,6,14,mssFAC 1488,No,Case 505 1858-06-14 SLO VC Executive Committee Meeting Notes.pdf
505,,Sentence of Miguel Blanco,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,6,14,mssFAC 1489,No,Case 505 1858-06-14 SLO VC Sentence of Miguel Blanco.pdf
506,,Examination of Juan Hererra,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,5,21,mssFAC 1485,No,Case 506 1858-05-21 SLO VC Examination of Juan Hererra.pdf
506,,Sentence of Nieves Robles,"San Luis Obispo Historical Documents, 1844-1861",Huntington Library,San Marino,California,U.S.,1858,6,28,mssFAC 1490,No,Case 506 1858-06-28 SLO VC Sentence of Nieves Robles.pdf
179,,"Elias Ketcham Diary, 1851-1868",Manuscripts,Huntington Library,San Marino,California,U.S.,1853,1,24, mssHM 59423,No,Case 179 Elias Ketcham Diary 1-24-1853.pdf
