caseNum,incidentNotes,year,yearMonth,yearMonthDay,dateNotes,state,place,county,latDecimal,lonDecimal,latDegrees,latMinutes,latSeconds,lonDegrees,lonMinutes,lonSeconds,locationNotes,crowdType,crowdSize,open,authorities,lethality,C-W_Index,G-D_Index,Notes_C-W_G-D
1,"Bancroft (incorectly, it seems) names suspects as Garcia, Bissi, and Manuel, from Buffum, Six Months in the Gold Mines (1850); using names from AC; Note--three of the men punished in this case were later captured and hanged on suspicion of murders at Weaver Creek (Pepi, Antoine, and Tchal). Their execution is recorded here as Case 027,",1849,1849/02,1849/02/20,,California,Placerville,El Dorado,38.7296252,-120.798546,,,,,,,aka Dry Diggings,Informal Court with three judges and twelve jurymen,A large party of armed citizens,Open,No officers present,Not Lethal,C-W 001,,5
2,"the ""Hounds"". ",1849,1849/07,1849/07/16,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California; ,Citizen's Meeting,230,Open,Alcalde participated,Not Lethal,,,SHOULD LOCATION BE PORTSMOUTH SQUARE?
3,Apochryphal?,1849,1849/10,1849/10/00,,California,Rose Bar,Yuba,39.1309,-121.1759,,,,,,,,Spontaneous Assembly,Community,Open,,Not Lethal,,,1
4,"contradictory reports on outcome, AC and Sac Transcript",1850,1850/07,1850/07/10,,California,Sonora,Tuolumne,37.98333333,-120.3805556,37,59,,120,22,50,"LOCATION CHANGED TO SONORA, using Durham p 830

On July 10, 1850— a little more than a month after the Foreign Miners Tax had gone into effect—a mob gathered at the Sonora home of Justice Barry, demanding action on reports that two murders had been committed at Green Flat Diggings, about eight miles from Sonora;

Also called ""Green's Flat."" 
See Hittell, 3: 281

AC says Sonora and Sac Transcript says Sonoriian Camp",Judge Lynch,Unknown,Open,Rescued by officers; placed in jail (AC). Rescued by escaped from authorities (Sac Transcript),Not Lethal,C-W 5,,
5,,1850,1850/10,1850/10/00,,California,Johnson's Ranch,Yuba,39.03888889,-121.3416667,39,2,20,121,20,30,"Using coords for Camp Far WEst, Durham, p. 460

Kearney House; News is from Johnson's Ranch, 45 miles north of Sacramento per Sac Times (CHECK). Gudde, CGC lists Kearney a(p 182) as on the Bear River, near Johnson's Crossing, a short distance above present day Wheatland, convenient depot for Yuba River Diggings 

Update Location",Crowd of inhabitants,,Open,,Not Lethal,,,
6,Gonzalez-Day excludes this incident without explanation,1850,1850/09,1850/09/00,,California,Placerville,El Dorado,38.7296252,-120.798546,,,,,,,,Yhe populace,1200-1500,Open,Seized from sheriff,Lethal,,G-D 1,3
7,Is this a lynching or an Indian massacre?,1850,1850/10,1850/10/17,,California,"Feather River, West Branch",Plumas,39.7383486,-121.7019975,,,,,,,"MH reports: Crime occurred ""near Kellen's old trading post."" Lynching occurred 2-3 miles from the post, in a canyon. Estimating with coordinates for Buttee Creek Canyon. Needs more research into location of trading post",Party of about 20 men,20 men,Open,No officers present,Lethal,,,1
8,Checked,1850,1850/12,1850/12/25,,California,Auburn,Placer,38.8968431,-121.0760567,,,,,,,,Hands of the people,unknown,Open,captured from the authorities,Lethal,,G-D- 3,4
9,Apochryphal?,1850,1850/00,1850/00/00,,California,Sacramento,Sacramento,38.5806777,-121.4992404,,,,,,,LOCATION CHANGED TO SACRAMENTO PER HHB,People's Court,Community,Open,,Lethal,,,HHB only
10,,1850,1850/00,1850/00/00,,California,Colusa,Colusa,39.2048905,-122.0095752,,,,,,,,Mob,,Open,,Not Lethal,,,2
11,check location,1851,1851/01,1851/01/10,Friday last; newspaper report 1-16,California,40 miles from Sacramento in the direction of Stockton,San Joaquin,38.004957,-121.342674,,,,,,,"Almost to Stockton, which is about 45 miles as crow flies from Sacramento. Locatin estimated with Google maps",No Trial; seized and punished,,Open,One of three suspects had been acquitted for horse theft,Not Lethal,,,
12,"Checked; jury consisted of 12 ""Americans"" and 12 Mexicans; Mexicans according to AC were asked to return the verdict",1851,1851/01,1851/01/20,,California,"Double Springs, on the Calaveras",Calaveras,38.2125,-120.775,38,12,45,120,46,30,"Using coordinates from Durham p 845, for Wheat, referenced from p. 767, Double Spring. Fairchild ms suggests San Adnreas as location.",Jury of 12 Americans and 12 Mexicans,,Open,,Not Lethal,,G-D-5 ,4
13,,1851,1851/01,1851/01/19,,California,Marysville,Yuba,39.1517792,-121.5834912,,,,,,,,unknown,,Open,,Not Lethal,,,5
14,,1851,1851/01,1851/01/00,,California,Nicolaus,Sutter,38.9032305,-121.5777385,,,,,,,,Individual Retribution,1,Open,,Lethal,,G-D 4,4
15,,1851,1851/01,1851/01/23,,California,Downieville,Sierra,39.5602894,-120.8280559,,,,,,,,Taken by the Great Unwashed,,Open,,Not Lethal,,,4
16,,1851,1851/01,1851/01/26,,California,Curtis Creek/ Curtis Diggings,Tuolumne,37.91111111,-120.4041667,37,54,40,120,24,15,using coordinates for Curtis Creek (Curtisville) from Durham p 764,Several persons present,,Open,,Lethal,,G-D-7 has it as Curtis's Diggings/Southern Mines,
17,AC places at Dobbin's Rancho near the Yuba,1851,1851/01,1851/01/30,,California,Dobbins' Ranch,Yuba,39.3715577,-121.2060694,39,22,15,121,12,20,Using cooreindates for Dobbins,,,Open,,Not Lethal,,,
18,,1851,1851/01,1851/01/00,,California,Staple & Co. Ranch,San Joaquin,38.1771468,-121.1654801,,,,,,,"On the Mokelumne; Coordinates estimated near Lockeford on road Sacramento to Stockton, per Illustrated History of San Joaquin County p. 681",the citizens assembled,,Open,,Not Lethal,,,4
19,In same report as Case 071,1851,1851/07,1851/07/08,,California,Martinez,Contra Costa,38.0126993,-122.1202428,,,,,,,"HHB  and SDU say crime occured at the Kennebec House, a hotel, in Antioch, formerly New York of the Pacific. Using Martinez, same side of San joaquin River as NY of the Pacific/Antioch",tried by a jury,,Open,,Not Lethal,,,4
20,,1851,1851/02,1851/02/00,,California,Foster's Bar,Yuba,39.436002,-121.1299567,,,,,,,,The miners,,Open,,Lethal,,,4
21,,1852,1852/02,1852/02/02,,California,Los Angeles,Los Angeles,34.0726866,-118.2130443,,,,,,,,the people,,Open,Seized from jail,Not Lethal,,,2
22,"Checked; suspect sone of Antonio Pacheco. Seized for stealing boots. Escaped, caught, given 100 lashes. Father tried to pay to avoid punishment.Pacheco suspected of heading up a band of horse thieves",1851,1851/02,1851/02/17,,California,Martinez,Contra Costa,38.0170867,-122.1362729,,,,,,,,the people,,Open,,Not Lethal,,,4
23,,1851,1851/02,1851/02/23,,California,Stockton,San Joaquin,37.9595012,-121.2927574,,,,,,,using coordinates for intersection of Center and Park Street,the populace,,Open,Dragged across the slough with determination to hang him; sheriff seized suspect before crowd could hang him,Not Lethal,,,4
25,,1851,1851/02,1851/02/26,,California,Sacramento,Sacramento,38.5806777,-121.4992404,,,,,,,Using coordinates per HHB--Hanged at corner of sixth and K Streets,"The people, following trial by Committee of Investigation",5000,Open,Crowd seized suspect from jail; Sheriff resisted,Lethal,,G-D-9,ADD REPORTS
26,Original cases 26 and 27 the same. Case 27 changed to followup of case 1,1851,1851/03,1851/03/07,,California,Rancho of Gage and Almond ,Sacramento,38.2817383,-121.3895197,,,,,,,"opposite the ranch of Rhoades, on the Cosumnes River; estimated across Cosumnes River from Galt, CA, site of Rhodes Ranch.",Incensed crowd,,Open,,Lethal,,G-D-14,
27,This case follows Case 001; three of four suspects whipped and banished in Case 001 later caught and exceuted for murder/attempted murder,1851,1851/01,1851/01/23,,California,Placerville,El Dorado,38.7296252,-120.798546,,,,,,,aka Dry Diggings,unknown,,Open,,Lethal,,,5
28,,1851,1851/03,1851/03/15,,California,Tuolumne River,Tuolumne,37.6119811,-120.7998513,,,,,,,"Coordinates estimated, along Tuolumne river in SJ Valley a bit east o of (current) Modesto); NOT near Hicksville? Durham 498 Lat 38˚19'40""; Long 121˚19'30""",crowd,,Open,,Lethal,,,
29,,1851,1851/03,1851/03/20,,California,Weaverville,Trinity,40.6860908,-122.9358438,,,,,,,45 miles north of Redding's Springs,Called court.,,Open,,Not Lethal,,,4
30,,1851,1851/03,1851/03/21,,California,Banedict's Ranch,San Joaquin,38.1489821,-121.224902,,,,,,,"Estimated between Staples and Wood's ferries.

Staples Ferry-- see Lockeford, San Joaquin County; 7 miles east, northeast of Lodi; Staples Ferry 2 miles west of Lockeford on Mokelumne (38.0950, -121.0855)
Woods Ferry, see Woodbridge, San Joaquin County; two miles ne downtown Lodi (38.0915; -121.1815)

On the Mokelumne, about half way between Wood's and Staple's Ferries

Wood's Ferry over Mokelumne at lower Sacramento Road, Woodbridge;
Staple's Ferry over Mokelumne, near Lockeford, CA;
North and East of Lodi","jury empaneled, 6 for hanging, 6 for whipping.",,Open,,Not Lethal,,,
31,,1851,1851/03,1851/03/21,,California,Rough & Ready,Nevada,39.2301715,-121.1360642,,,,,,,,takend and tried,,Open,,Lethal,,,4
32,,1851,1851/03,1851/03/16,,California,Redding's Springs,Shasta,40.5992568,-122.4919142,,,,,,,Now known as Shasta City (west of Redding),court of the people,,Open,,Lethal,,G-D- 10 has location as Shasta City/Redding's springs,5
33,,1851,1851/03,1851/03/00,,California,"Yuba River, Middle Fork, near Long Bar",Yuba,39.2185035,-121.3699613,39,13,05,121,22,10,"Long bar on main yuba river (Gudde 197) above confluence with Dry Creek, near Parks Bar
g-d- 11 has location as Long Bar; Durhm, p 515, has two locations for Long Bar (1) 39,27,15; 121,09,05 SW side of Yuba; Texas Bar directly across the river; (2) 39,13,05; 121,22,10, near smartsville; using second, most likely",The miners on the middle fork of the Yuba River,,Open,,Lethal,,G-D- 11 has location as Long Bar,
